time,income,red,cash,total1,asset,total2,loan,total3,account,win,actual,log初始化a支付宝b微信c卡-信用卡，a基金bAshares c Mshares.备注要减信用卡,remark,publicFunds,extra,balance,,
2020/3/5,11.5,1.5,a2b0c10.6,12.6,a23.3b12.6c0,35.9,a10+10+3+5b2.4,30.4,78.9,0,78.9,初始化a支付宝b微信c卡，a基金bAshares c Mshares,准备交房租,11,,,,
2020/4/8,8.9,1.5,a1.2b1.1c0.9,3.2,a23.6b21c0,45,a10+10+3+5,28,76.2,0,76.2,市场亏损2000，房租6200+500,准备交房租,11,,,,
2020/5/14,11.5,1.5,a0b0.2c1.4,1.6,a32b24.7c0,56.7,a10+10+3+5,28,86.3,0,86.3,等一波牛市,,11,,,,
2020/6/9,11.5,1.5,a0b0c2,2,a13.4b26c20,60.4,a10+10+3+5,28,90.4,0,90.4,清仓了，截至目前，盈利a5b3c0=8,马上交房租,13,,,,
2020/7/1,11.5,1.5,a0b0c1.5,1.5,a15b30c20,65,a10+10+3+5,28,94.5,14,80.5,2020年中，截至目前盈利a7.2b6.6c0==14(a基金bA股c美股),交了房租,,,,,
2020/10/26,11.5,1.5,a0.5b0.4c1.2,2.1,a0b100c37,97,a10+10+3+5,28,127.1,14,113.1,,,17,,,,
2020/11/22,11.5,1.5,a0.2b0c0.4,0.6,a0b100c39-40,99,a10+10+3+5,28,127.6,20.8,106.8,盈利c18b-6+a8.8=20.8,,,,,,
2021/1/5,11.5,1.5,a1.7b0c1.2,2.9,a0b118c40-45,113,a10+10+3+5,28,143.9,16.5,127.4,盈利c20b-12+a8.8=16.5,,,,,,
2021/2/22,11.5,1.5,a-3b4c0,-2.6,a0b139c49-45,143,a10+10+3+5,28,168.4,36,132.4,盈利c29b-2a8.8=36,,20,一个多月日常消费3.7，过年消费4,,,
2021/3/4,11.5,1.5,a0.8b0.1c0.2,1.1,a0b123c49-45,127,a10+10+3+5,28,156.1,13,143.1,盈利c29b-25a8.8=36,本月未交房租4500,20,,,,
2021/4/19,11.5,1.5,a23.5b0c5.6,29.1,a0b80c39-40,79,a10+10+3+5,28,136.1,-20,156.1,-20,,20,,,,
2021/5/6,11.5,1.5,a1.3b0.1c16.7,18.1,a0b73.6c42.5-15,101.1,a10+10+3+5,28,147.2,,147.2,..,,20,,,,
2021/5/21,11.5,1.5,a1.5b0c0.4,1.9,a0b93.2c42.3-15,120.5,a10+10+3+5,28,150.4,,150.4,基金算9,,20,,,,
